image,age,male,country,cyber.event,cyber.crime,risk,pre.reason,post.reason,pre.conf,post.conf
0,46,1,United Kingdom,0.5,0.667,0.167,1,0,9,1
0,50,0,United Kingdom,0.833,0.333,0.286,0.5,0,6,2
0,50,1,United Kingdom,1,0.667,0.31,0.333,0,6,4
0,34,0,United Kingdom,1,0.667,0.333,0.333,0.5,6,5
0,39,1,Nigeria,1,0.667,0.381,1,0.333,9,7
0,44,0,United Kingdom,0.5,0.333,0.214,0.333,0,2,2
0,29,1,United Kingdom,0.833,0.333,0.381,0.5,0,7,3
0,24,1,United Kingdom,0.667,0.333,0.381,0.333,0,3,3
0,42,1,United Kingdom,0.667,0,0.405,0.5,0.5,6,4
0,33,0,United Kingdom,0.5,0.667,0.643,0.5,0,6,6
0,33,0,United Kingdom,1,0.333,0.333,1,0,9,7
0,41,0,United Kingdom,1,0.333,0.405,0,0.5,5,2
0,53,0,United Kingdom,1,0.667,0.286,0.4,0,7,7
0,63,1,United Kingdom,0.667,0.667,0.429,1,0.333,9,7
0,40,0,United Kingdom,0.667,0.667,0.238,0.5,0.5,5,7
0,44,0,United Kingdom,0.667,0,0.167,1,0.5,10,1
0,56,0,United Kingdom,0.833,0.333,0.024,1,1,10,10
0,26,1,United Kingdom,0.833,0.333,0.405,0.5,0,8,2
0,63,1,United Kingdom,1,0.333,0.31,1,0,8,5
0,42,1,United Kingdom,0.5,0.667,0.071,0,0,1,1
0,34,0,United Kingdom,0.833,0.667,0.333,1,0.5,10,5
0,47,0,United Kingdom,0.667,0.333,0.381,1,0,8,2
0,22,1,United Kingdom,0.833,0,0.381,0.5,0.5,6,2
0,44,1,United Kingdom,0.833,0.333,0.357,0.5,0.5,6,4
0,50,1,United Kingdom,0.667,0.333,0.333,1,0.5,8,4
0,34,0,United Kingdom,0.333,0.333,0.5,0.667,0.5,9,9
0,61,0,United Kingdom,0.667,0.333,0.524,1,0.5,7,3
0,40,0,United Kingdom,0.833,0.333,0.31,0.25,0.5,5,3
0,51,0,United Kingdom,0.667,0.333,0.286,1,0,8,2
0,39,1,Canada,1,0,0.048,0.5,1,8,8
0,25,0,Italy,0.667,0.333,0.405,0.333,0.667,5,4
